




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
NEW LENOX PCT 019             1354                          0                             0                             0                             0                             0                             0                             
NEW LENOX PCT 020             1530                          0                             0                             0                             0                             0                             0                             
PEOTONE PCT 001               1371                          0                             0                             0                             0                             0                             0                             
PEOTONE PCT 002               1440                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 001            1308                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 002            1255                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 003            1204                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 004            683                           0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 005            1208                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 006            1226                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 007            1468                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 008            1323                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 009            1475                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 010            1236                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 011            649                           0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 012            1155                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 013            1322                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 014            1222                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 015            1231                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 016            1384                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 017            1415                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 018            1390                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 019            1168                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 020            1312                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 021            1173                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 022            1074                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 023            1174                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 024            1228                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 025            1343                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 026            1141                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 027            1397                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 028            1279                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 029            1220                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 030            1252                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 031            1206                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 032            1155                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 033            1320                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 034            1047                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 035            1163                          0                             0                             0                             0                             0                             0                             
PLAINFIELD PCT 036            1129                          0                             0                             0                             0                             0                             0                             
REED PCT 001                  1370                          0                             0                             0                             0                             0                             0                             
REED PCT 002                  1316                          0                             0                             0                             0                             0                             0                             
REED PCT 003                  1393                          0                             0                             0                             0                             0                             0                             
TROY PCT 001                  1402                          0                             0                             0                             0                             0                             0                             
TROY PCT 002                  1311                          0                             0                             0                             0                             0                             0                             
TROY PCT 003                  1302                          0                             0                             0                             0                             0                             0                             
TROY PCT 004                  1264                          0                             0                             0                             0                             0                             0                             
TROY PCT 005                  1192                          0                             0                             0                             0                             0                             0                             
TROY PCT 006                  853                           0                             0                             0                             0                             0                             0                             
TROY PCT 007                  1377                          0                             1                             0                             0                             1                             1                             
TROY PCT 008                  1204                          0                             0                             0                             0                             0                             0                             
TROY PCT 009                  1281                          0                             0                             0                             0                             0                             0                             
TROY PCT 010                  1377                          0                             0                             0                             0                             0                             0                             
TROY PCT 011                  1562                          0                             0                             0                             0                             0                             0                             
TROY PCT 012                  1407                          0                             0                             0                             0                             0                             0                             
TROY PCT 013                  1490                          1                             0                             0                             0                             1                             1                             
TROY PCT 014                  1367                          0                             0                             0                             0                             0                             0                             
TROY PCT 015                  1442                          0                             0                             0                             0                             0                             0                             
TROY PCT 016                  1406                          0                             0                             0                             0                             0                             0                             
TROY PCT 017                  1420                          0                             0                             0                             0                             0                             0                             
TROY PCT 018                  1183                          0                             0                             0                             0                             0                             0                             
TROY PCT 019                  1213                          0                             0                             0                             0                             0                             0                             
TROY PCT 020                  1423                          0                             0                             0                             0                             0                             0                             
TROY PCT 021                  1161                          0                             1                             0                             0                             1                             1                             
TROY PCT 022                  690                           0                             0                             0                             0                             0                             0                             
TROY PCT 023                  1181                          0                             0                             0                             0                             0                             0                             
WASHINGTON PCT 001            1202                          0                             0                             0                             0                             0                             0                             
WASHINGTON PCT 002            1348                          0                             0                             0                             0                             0                             0                             
WASHINGTON PCT 003            1206                          0                             0                             0                             0                             0                             0                             
WESLEY PCT 001                1468                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 001             1629                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 002             1245                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 003             1297                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 004             1735                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 005             1524                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 006             1211                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 007             1340                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 008             1329                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 009             1516                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 010             1323                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 011             1267                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 012             1305                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 013             1202                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 014             1432                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 015             1307                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 016             1483                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 017             1434                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 018             1402                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 019             1156                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 020             1178                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 021             1128                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 022             1224                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 023             1521                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 024             1240                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 025             1457                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 026             1602                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 027             1238                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 028             1539                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 029             1517                          0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 030             1463                          0                             0                             0                             0                             0                             0                             
WILL PCT 001                  1094                          0                             0                             0                             0                             0                             0                             
WILMINGTON PCT 001            1298                          0                             0                             0                             0                             0                             0                             
WILMINGTON PCT 002            1297                          1                             0                             0                             0                             1                             1                             
WILMINGTON PCT 003            1286                          0                             0                             0                             0                             0                             0                             
WILTON PCT 001                594                           0                             0                             0                             0                             0                             0                             
Totals:                       389369                        10                            5                             0                             0                             15                            15                            

                                                                                                                                                                                                                                                  UNITED STATES SENATOR (REP) (Vote For 1)
                                                            James D. "Jim" Oberweis                                                                                                                               Douglas Lee Truax                                                                                                                                     WRITE-IN                                                                                                                                              
Precinct                      Registered Voters             ELECTION DAY                  EARLY VOTING/MAIL             PROVISIONAL                   CITY/AURORA                   Choice Total                  ELECTION DAY                  EARLY VOTING/MAIL             PROVISIONAL                   CITY/AURORA                   Choice Total                  ELECTION DAY                  EARLY VOTING/MAIL             PROVISIONAL                   CITY/AURORA                   Choice Total                  Total                         
CHANNAHON PCT 001             1320                          78                            15                            0                             0                             93                            83                            4                             1                             0                             88                            0                             0                             0                             0                             0                             181                           
CHANNAHON PCT 002             1546                          90                            18                            1                             0                             109                           107                           3                             0                             0                             110                           0                             0                             0                             0                             0                             219                           
CHANNAHON PCT 003             1411                          72                            14                            0                             0                             86                            107                           15                            0                             0                             122                           1                             0                             0                             0                             1                             209                           
CHANNAHON PCT 004             1283                          91                            11                            1                             0                             103                           74                            5                             1                             0                             80                            0                             0                             0                             0                             0                             183                           
CHANNAHON PCT 005             1351                          47                            8                             0                             0                             55                            54                            2                             0                             0                             56                            0                             0                             0                             0                             0                             111                           
CRETE PCT 001                 1302                          49                            4                             0                             0                             53                            39                            2                             0                             0                             41                            0                             0                             0                             0                             0                             94                            
CRETE PCT 002                 1292                          36                            1                             0                             0                             37                            30                            2                             1                             0                             33                            0                             0                             0                             0                             0                             70                            
CRETE PCT 003                 1217                          46                            0                             0                             0                             46                            44                            3                             1                             0                             48                            0                             0                             0                             0                             0                             94                            
CRETE PCT 004                 1246                          55                            11                            0                             0                             66                            53                            8                             0                             0                             61                            0                             0                             0                             0                             0                             127                           
CRETE PCT 005                 1253                          29                            3                             1                             0                             33                            57                            2                             0                             0                             59                            1                             0                             0                             0                             1                             93                            
CRETE PCT 006                 1291                          66                            8                             0                             0                             74                            61                            11                            0                             0                             72                            0                             0                             0                             0                             0                             146                           
CRETE PCT 007                 1196                          40                            7                             0                             0                             47                            67                            1                             1                             0                             69                            0                             0                             0                             0                             0                             116                           
CRETE PCT 008                 1311                          58                            2                             0                             0                             60                            64                            2                             0                             0                             66                            1                             0                             0                             0                             1                             127                           
CRETE PCT 009                 1185                          69                            1                             0                             0                             70                            82                            3                             0                             0                             85                            1                             0                             0                             0                             1                             156                           
CRETE PCT 010                 987                           51                            3                             0                             0                             54                            32                            3                             0                             0                             35                            0                             0                             0                             0                             0                             89                            
CRETE PCT 011                 1127                          71                            7                             0                             0                             78                            93                            6                             0                             0                             99                            0                             0                             0                             0                             0                             177                           
CRETE PCT 012                 1033                          76                            7                             1                             0                             84                            89                            3                             0                             0                             92                            0                             0                             0                             0                             0                             176                           
CUSTER PCT 001                984                           85                            5                             0                             0                             90                            73                            1                             1                             0                             75                            1                             0                             0                             0                             1                             166                           
DU PAGE PCT 001               1486                          67                            10                            0                             0                             77                            101                           5                             0                             0                             106                           0                             0                             0                             0                             0                             183                           
DU PAGE PCT 002               1398                          48                            9                             0                             0                             57                            114                           8                             0                             0                             122                           3                             0                             0                             0                             3                             182                           
DU PAGE PCT 003               1462                          71                            5                             4                             0                             80                            131                           6                             2                             0                             139                           0                             0                             0                             0                             0                             219                           
DU PAGE PCT 004               1142                          56                            3                             0                             0                             59                            74                            9                             0                             0                             83                            0                             0                             0                             0                             0                             142                           
DU PAGE PCT 005               1146                          59                            4                             0                             0                             63                            62                            5                             0                             0                             67                            1                             0                             0                             0                             1                             131                           
DU PAGE PCT 006               1129                          60                            5                             0                             0                             65                            62                            4                             0                             0                             66                            0                             0                             0                             0                             0                             131                           
DU PAGE PCT 007               1284                          73                            4                             0                             0                             77                            134                           9                             0                             0                             143                           0                             0                             0                             0                             0                             220                           
DU PAGE PCT 008               1296                          39                            14                            0                             0                             53                            49                            8                             0                             0                             57                            0                             0                             0                             0                             0                             110                           
DU PAGE PCT 009               1016                          45                            2                             0                             0                             47                            34                            4                             1                             0                             39                            0                             0                             0                             0                             0                             86                            
DU PAGE PCT 010               1373                          47                            6                             0                             0                             53                            29                            0                             0                             0                             29                            0                             0                             0                             0                             0                             82                            
DU PAGE PCT 011               1287                          45                            2                             0                             0                             47                            44                            4                             0                             0                             48                            1                             0                             0                             0                             1                             96                            
DU PAGE PCT 012               1235                          59                            2                             0                             0                             61                            63                            3                             1                             0                             67                            2                             0                             0                             0                             2                             130                           
DU PAGE PCT 013               1458                          30                            7                             0                             0                             37                            32                            5                             0                             0                             37                            1                             0                             0                             0                             1                             75                            
DU PAGE PCT 014               1316                          59                            7                             0                             0                             66                            70                            3                             0                             0                             73                            3                             0                             0                             0                             3                             142                           
DU PAGE PCT 015               1180                          41                            3                             0                             0                             44                            39                            3                             0                             0                             42                            1                             0                             0                             0                             1                             87                            
DU PAGE PCT 016               1316                          50                            3                             0                             0                             53                            58                            3                             0                             0                             61                            1                             0                             0                             0                             1                             115                           
