




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
MONEE PCT 008                 1094                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       8084                          397                           4                             24                            4                             429                           350                           4                             16                            3                             373                           307                           6                             20                            2                             335                           276                           22                            38                            6                             342                           249                           15                            25                            0                             289                           366                           25                            50                            6                             447                           275                           22                            40                            4                             341                           303                           5                             18                            4                             330                           211                           9                             22                            0                             242                           390                           15                            32                            0                             437                           3565                          

                                                                                                                                                                                                                                                                                                                             VILLAGE OF WOODRIDGE TRUSTEE FULL (Vote For 3)
                                                            Magin "Mike" Martinez (IND)                                                                                                                           Mary Anne Blair (IND)                                                                                                                                 Greg Abbott (IND)                                                                                                                                     Joseph Kagann (IND)                                                                                                                                   
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
DU PAGE PCT 005               1134                          1                             0                             0                             0                             1                             1                             0                             0                             0                             1                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             3                             
DU PAGE PCT 033               1404                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       2538                          1                             0                             0                             0                             1                             1                             0                             0                             0                             1                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             3                             

                                                                                                                                                                       VILLAGE OF WOODRIDGE TRUSTEE UNEXP 2YR (Vote For 1)
                                                            Mike Krucek (IND)                                                                                                                                     Linda J. Mast (IND)                                                                                                                                   
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
DU PAGE PCT 005               1134                          1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             
DU PAGE PCT 033               1404                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       2538                          1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             

                                                                                                                                                                                                                                                                                                                                                                                                        BOLINGBROOK PARK COMMISSIONER (Vote For 3)
                                                            Jerry Hix                                                                                                                                             Thomas M. Gilligan                                                                                                                                    Al Traczek                                                                                                                                            Sue Vastalo                                                                                                                                           Alice R. Murray                                                                                                                                       
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
DU PAGE PCT 004               1132                          40                            0                             6                             0                             46                            42                            0                             6                             1                             49                            31                            1                             6                             1                             39                            40                            1                             6                             0                             47                            82                            2                             5                             0                             89                            270                           
DU PAGE PCT 005               1134                          78                            4                             4                             0                             86                            63                            1                             5                             0                             69                            70                            0                             7                             0                             77                            83                            4                             4                             0                             91                            61                            3                             5                             0                             69                            392                           
DU PAGE PCT 006               1144                          82                            7                             6                             0                             95                            76                            7                             7                             0                             90                            80                            2                             4                             0                             86                            81                            7                             7                             0                             95                            50                            1                             6                             0                             57                            423                           
DU PAGE PCT 008               1320                          46                            0                             6                             0                             52                            52                            5                             6                             1                             64                            60                            3                             8                             0                             71                            52                            1                             9                             0                             62                            52                            4                             6                             0                             62                            311                           
DU PAGE PCT 009               1018                          45                            5                             1                             0                             51                            37                            3                             1                             1                             42                            42                            3                             1                             0                             46                            49                            4                             2                             1                             56                            30                            3                             1                             1                             35                            230                           
DU PAGE PCT 010               1389                          56                            3                             10                            0                             69                            52                            6                             5                             1                             64                            54                            2                             9                             0                             65                            63                            3                             8                             1                             75                            43                            4                             1                             1                             49                            322                           
DU PAGE PCT 011               1292                          74                            0                             8                             0                             82                            48                            1                             4                             0                             53                            68                            1                             7                             0                             76                            75                            1                             11                            0                             87                            44                            0                             8                             0                             52                            350                           
DU PAGE PCT 012               1219                          80                            5                             11                            0                             96                            41                            4                             8                             0                             53                            83                            7                             12                            0                             102                           91                            7                             16                            0                             114                           38                            3                             11                            0                             52                            417                           
DU PAGE PCT 013               1438                          53                            3                             2                             0                             58                            45                            7                             6                             0                             58                            55                            4                             3                             0                             62                            50                            3                             3                             0                             56                            42                            5                             4                             0                             51                            285                           
DU PAGE PCT 014               1319                          73                            1                             8                             0                             82                            64                            1                             7                             1                             73                            71                            1                             13                            0                             85                            76                            1                             11                            0                             88                            44                            2                             3                             0                             49                            377                           
DU PAGE PCT 015               1155                          45                            3                             6                             0                             54                            82                            1                             7                             0                             90                            51                            2                             5                             0                             58                            70                            3                             11                            0                             84                            50                            1                             5                             0                             56                            342                           
DU PAGE PCT 016               1327                          76                            3                             16                            5                             100                           57                            1                             15                            0                             73                            66                            3                             6                             5                             80                            67                            2                             4                             1                             74                            55                            1                             11                            4                             71                            398                           
DU PAGE PCT 017               1447                          48                            1                             7                             1                             57                            44                            2                             2                             1                             49                            54                            0                             5                             0                             59                            43                            1                             4                             0                             48                            43                            2                             3                             0                             48                            261                           
DU PAGE PCT 018               1350                          77                            1                             11                            0                             89                            80                            1                             7                             0                             88                            70                            2                             11                            0                             83                            71                            1                             9                             0                             81                            35                            3                             2                             0                             40                            381                           
DU PAGE PCT 019               1404                          67                            2                             4                             1                             74                            56                            1                             2                             0                             59                            57                            1                             4                             1                             63                            55                            1                             5                             1                             62                            50                            0                             2                             0                             52                            310                           
DU PAGE PCT 020               1270                          48                            0                             8                             0                             56                            41                            1                             0                             1                             43                            57                            0                             6                             1                             64                            40                            1                             9                             0                             50                            38                            2                             6                             1                             47                            260                           
DU PAGE PCT 021               1436                          61                            1                             7                             0                             69                            53                            1                             7                             0                             61                            64                            1                             8                             0                             73                            70                            2                             10                            0                             82                            45                            1                             4                             0                             50                            335                           
DU PAGE PCT 022               1405                          54                            2                             6                             2                             64                            63                            1                             7                             0                             71                            54                            2                             7                             2                             65                            63                            3                             6                             1                             73                            55                            1                             4                             1                             61                            334                           
DU PAGE PCT 023               1271                          45                            0                             1                             1                             47                            36                            0                             2                             1                             39                            46                            0                             1                             0                             47                            45                            0                             1                             1                             47                            23                            0                             1                             0                             24                            204                           
DU PAGE PCT 024               1011                          46                            0                             7                             0                             53                            33                            0                             4                             0                             37                            53                            0                             7                             0                             60                            54                            0                             5                             0                             59                            35                            0                             1                             0                             36                            245                           
DU PAGE PCT 025               1224                          50                            0                             4                             0                             54                            43                            1                             6                             0                             50                            54                            0                             4                             0                             58                            53                            0                             5                             0                             58                            37                            1                             4                             0                             42                            262                           
DU PAGE PCT 026               1192                          58                            1                             6                             0                             65                            51                            2                             2                             0                             55                            56                            1                             7                             0                             64                            49                            1                             8                             0                             58                            35                            1                             4                             0                             40                            282                           
DU PAGE PCT 027               1495                          45                            1                             8                             0                             54                            37                            1                             9                             0                             47                            40                            0                             4                             0                             44                            41                            1                             4                             0                             46                            32                            0                             5                             0                             37                            228                           
DU PAGE PCT 028               1471                          47                            3                             10                            0                             60                            37                            2                             6                             0                             45                            43                            4                             11                            0                             58                            44                            6                             8                             0                             58                            31                            7                             1                             0                             39                            260                           
DU PAGE PCT 029               1297                          39                            0                             0                             0                             39                            34                            0                             2                             0                             36                            34                            0                             0                             0                             34                            44                            0                             2                             0                             46                            30                            0                             2                             0                             32                            187                           
DU PAGE PCT 030               1223                          29                            2                             3                             0                             34                            37                            1                             2                             0                             40                            25                            4                             2                             0                             31                            36                            9                             3                             0                             48                            31                            3                             4                             0                             38                            191                           
DU PAGE PCT 031               1137                          32                            1                             4                             0                             37                            27                            1                             1                             0                             29                            34                            0                             3                             0                             37                            35                            1                             4                             0                             40                            19                            0                             0                             0                             19                            162                           
DU PAGE PCT 033               1404                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
WHEATLAND PCT 019             1168                          58                            0                             0                             0                             58                            45                            0                             0                             0                             45                            59                            0                             0                             0                             59                            40                            0                             0                             0                             40                            25                            0                             0                             0                             25                            227                           
WHEATLAND PCT 022             1291                          49                            1                             3                             0                             53                            44                            2                             2                             0                             48                            52                            1                             3                             0                             56                            52                            1                             4                             0                             57                            28                            1                             2                             0                             31                            245                           
WHEATLAND PCT 027             1407                          43                            2                             1                             0                             46                            43                            2                             0                             0                             45                            40                            2                             0                             0                             42                            34                            2                             1                             0                             37                            23                            0                             1                             0                             24                            194                           
Totals:                       39790                         1644                          52                            174                           10                            1880                          1463                          56                            138                           8                             1665                          1623                          47                            164                           10                            1844                          1666                          67                            180                           6                             1919                          1206                          51                            112                           8                             1377                          8685                          

                                                                                                                                                                                                                                                  BRAIDWOOD PARK COMMISSIONER (Vote For 2)
                                                            Christopher J. Earley                                                                                                                                 Joshua James Bolatto                                                                                                                                  Richard Girot                                                                                                                                         
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          263                           9                             28                            0                             300                           262                           10                            36                            1                             309                           79                            4                             9                             0                             92                            701                           
REED PCT 002                  1329                          251                           5                             59                            1                             316                           228                           6                             45                            1                             280                           101                           5                             53                            0                             159                           755                           
REED PCT 003                  1410                          235                           5                             24                            0                             264                           244                           3                             36                            0                             283                           71                            0                             22                            0                             93                            640                           
Totals:                       4093                          749                           19                            111                           1                             880                           734                           19                            117                           2                             872                           251                           9                             84                            0                             344                           2096                          

                                                                                                                                                                       CHANNAHON PARK COMMISSIONER (Vote For 2)
                                                            Ronald D. Lehman                                                                                                                                      Robert Babich                                                                                                                                         
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
CHANNAHON PCT 001             1325                          64                            2                             7                             0                             73                            51                            2                             10                            0                             63                            136                           
CHANNAHON PCT 002             1532                          128                           4                             11                            1                             144                           113                           4                             12                            1                             130                           274                           
CHANNAHON PCT 003             1389                          109                           4                             11                            1                             125                           94                            2                             14                            1                             111                           236                           
CHANNAHON PCT 004             1286                          95                            0                             10                            0                             105                           88                            0                             9                             0                             97                            202                           
CHANNAHON PCT 005             1378                          49                            1                             4                             0                             54                            46                            1                             2                             0                             49                            103                           
TROY PCT 023                  1180                          75                            2                             4                             0                             81                            63                            3                             3                             0                             69                            150                           
Totals:                       8090                          520                           13                            47                            2                             582                           455                           12                            50                            2                             519                           1101                          
