Election: 2005 Consolidated
Jurisdiction:  Winnebago
Date:  2005-04-05 00:00:00
Registered Voters:  105758
Ballots Cast:  19204
Voter Turnout:  18
Active Precincts:  126

Election: 2005 Consolidated
Contest: CHERRY VLY PRES
Candidate Name,Total Votes,Vote %
DIANE LaFORGE (NP), 1197, 12.99, 
SCOTT R. MOYER (NP), 1012, 10.98, 
SANDY FORDELL (NP), 1005, 10.91, 
LYN WSHBRN-LIVINGSTN (NP), 797, 8.65, 
EVERETT M. PETERSON (NP), 792, 8.6, 
BILL DILTS (NP), 743, 8.06, 
JAMES C. POWELL (NP), 701, 7.61, 
EDGAR E. DIAZ (NP), 605, 6.57, 
ARMANDO LUEVANO (NP), 603, 6.54, 
JOHN SCHAMELL (NP), 525, 5.7, 
Write-in (NP), 15, 0.16, 

Contest: MERIDIAN CUSD 223
Candidate Name,Total Votes,Vote %
KEVIN L. GLENDENNING (NP), 51, 24.52, 
DEBRA L. BONNE (NP), 48, 23.08, 
RONALD J. STEENKEN (NP), 45, 21.63, 
TIMOTHY H. JAGIELSKI (NP), 38, 18.27, 
EARL T. FLEMING III (NP), 26, 12.5, 
Write-in (NP), 0, 0, 
Twp 25N Rge 11E (NP), 0, 0, 
Twp 42N Rge 1E (NP), 0, 0, 

Contest: S BELOIT CUSD 320 Race 1270
Candidate Name,Total Votes,Vote %
CRAIG DUNAWAY (NP), 182, 100, 
Write-in (NP), 0, 0, 

Contest: S BELOIT CUSD 320 Race 1280
Candidate Name,Total Votes,Vote %
LINDA L. CHAMBERS (NP), 172, 33.33, 
JACK E. REDIESKE (NP), 172, 33.33, 
DAVID W. BROCKMAN (NP), 171, 33.14, 
Write-in (NP), 1, 0.19, 

Contest: PECATONICA CUSD 321
Candidate Name,Total Votes,Vote %
JOHN FLYNN (NP), 925, 27.29, 
SALLY HOFF (NP), 895, 26.4, 
WILLIAM FREIBURGER (NP), 809, 23.86, 
TIM COLBORN (NP), 756, 22.3, 
Write-in (NP), 5, 0.15, 
Twp 27N Rge 9E (NP), 0, 0, 
Twp 28N Rge 10E (NP), 0, 0, 
Twp 26N Rge 10E (NP), 0, 0, 

Contest: DURAND CUSD 322 Race 1300
Candidate Name,Total Votes,Vote %
BRADLEY FAULKNER (NP), 366, 34.11, 
J. GRANT BOYLE (NP), 284, 26.47, 
AARON FUNFSINN (NP), 257, 23.95, 
RYAN FUNFSINN (NP), 160, 14.91, 
Write-in (NP), 6, 0.56, 

Contest: DURAND CUSD 322 Race 1310
Candidate Name,Total Votes,Vote %
EDWARD C SLOCUM (NP), 305, 18.23, 
ED JOHNSTON (NP), 255, 15.24, 
THOMAS SULLIVAN (NP), 223, 13.33, 
MARK ALBERSTETT (NP), 207, 12.37, 
AMY BURDICK (NP), 206, 12.31, 
KEVIN HALLISEY (NP), 181, 10.82, 
JOSEPH FRANCIS (NP), 125, 7.47, 
SHEILA A HOFFMAN (NP), 95, 5.68, 
JENNIE DERUS (NP), 76, 4.54, 
Twp 28N Rge 10E (NP), 0, 0, 
Write-in (NP), 0, 0, 

Contest: DURAND CUSD 322 Race 1320
Candidate Name,Total Votes,Vote %
SUSAN K. KINNEY (NP), 280, 48.11, 
DARRELL FULFER (NP), 162, 27.84, 
DONALD C. FUNFSINN (NP), 140, 24.05, 
Write-in (NP), 0, 0, 

Contest: WINNEBAGO CUSD 323 2YR
Candidate Name,Total Votes,Vote %
GERRY VISEL (NP), 1048, 99.71, 
Write-in (NP), 3, 0.29, 
Twp 26N Rge 11E (NP), 0, 0, 

Contest: WINNEBAGO CUSD 323
Candidate Name,Total Votes,Vote %
DALE THOMAS (NP), 900, 27.55, 
JOHN J. VIEL (NP), 871, 26.66, 
ELIZABETH LOVETT (NP), 783, 23.97, 
JOHN COX (NP), 713, 21.82, 

Contest: HIAWATHA CUSD 426 Race 1340
Candidate Name,Total Votes,Vote %
JAMES C. WILLIAMS (NP), 8, 33.33, 
TAMMY M. HAMRICK (NP), 8, 33.33, 
SHARON M. MILLER (NP), 8, 33.33, 
Franklin Township (NP), 0, 0, 
Write-in (NP), 0, 0, 

Contest: HIAWATHA CUSD 426 Race 1350
Candidate Name,Total Votes,Vote %
JIM BLACKMER (NP), 8, 100, 
Remaining Townships (NP), 0, 0, 
Write-in (NP), 0, 0, 

Contest: ROCK VLY CCD 511 Race 1360
Candidate Name,Total Votes,Vote %
CHRIS BECK (NP), 7633, 27.98, 
KENNETH C. NELSON (NP), 7482, 27.43, 
DAVID F. BLACK (NP), 5012, 18.38, 
JACK L. SIMON (NP), 4196, 15.38, 
JOHN C. HUWE (NP), 2914, 10.68, 
Write-in (NP), 39, 0.14, 

Contest: ROCK VLY CCD 511 Race 1370
Candidate Name,Total Votes,Vote %
TED BIONDO (NP), 13717, 99.53, 
Write-in (NP), 65, 0.47, 

Contest: KISHWAUKEE CCD 523
Candidate Name,Total Votes,Vote %
JAMES QUINN (NP), 5, 23.81, 
PAM BLICKEM (NP), 4, 19.05, 
ROBERT B. JOHNSON (NP), 3, 14.29, 
ROBERT L. HAMMON (NP), 3, 14.29, 
BRETT S. BROWN (NP), 2, 9.52, 
RICHARD OHLINGER (NP), 2, 9.52, 
FRANK H. ROBERTS (NP), 1, 4.76, 
GEORGE SMITH (NP), 1, 4.76, 
NESTOR L. OSORIO (NP), 0, 0, 
Write-in (NP), 0, 0, 

Contest: WINNEBAGO CTY FIRE
Candidate Name,Total Votes,Vote %
H. DUANE KINNEY (NP), 644, 100, 
Write-in (NP), 0, 0, 

Contest: ROCKTON FIRE
Candidate Name,Total Votes,Vote %
ROBERT TURNER (NP), 982, 35.61, 
STANTON PHELPS (NP), 936, 33.94, 
DEAN LIVINGSTON (NP), 835, 30.28, 
Write-in (NP), 5, 0.18, 

Contest: STILLMAN VLY FIRE
Candidate Name,Total Votes,Vote %
RICHARD BRASS (NP), 48, 53.33, 
WILLIAM B. JOLLY (NP), 42, 46.67, 
Write-in (NP), 0, 0, 

Contest: ROCKTON VIL UTILITIE
Candidate Name,Total Votes,Vote %
YES (NP), 608, 60.92, 
NO (NP), 390, 39.08, 

Contest: ROCKTON VIL ASSETS
Candidate Name,Total Votes,Vote %
YES (NP), 636, 64.37, 
NO (NP), 352, 35.63, 

Contest: HARLEM CUSD 122 RATE
Candidate Name,Total Votes,Vote %
NO (NP), 4421, 65.42, 
YES (NP), 2337, 34.58, 

Contest: N SUBURBAN LIB ANNEX
Candidate Name,Total Votes,Vote %
YES (NP), 4086, 58.54, 
NO (NP), 2894, 41.46, 

Contest: CUSD 321 RATE
Candidate Name,Total Votes,Vote %
NO (NP), 836, 59.84, 
YES (NP), 561, 40.16, 

Contest: PECATONICA FPD ELECT
Candidate Name,Total Votes,Vote %
YES (NP), 837, 54.96, 
NO (NP), 686, 45.04, 

